block_number,transaction_index,operation,transaction_hash,amount,current_supply
19550545,71,mint,0xc3d0f41eb0964cd0aab11c09f65446b704480a5c1ea2def02c91205d56de077f,100,17600
19550545,72,mint,0x0c2fb05d4933a8f5cd589db375f9b4b29a689ea7b6fb91fbfb436b638ec02527,100,17700
19550545,73,mint,0xc888499c5bf96f63b9ebb56d75e310b59448ee10c1648e5218ee615bba209f54,100,17800
19550545,74,mint,0x110bc7dce70be516f5874381d78fc86a063ea1f8da9a0ae2c2a9996e296ae3e7,100,17900
19550545,75,mint,0x30febfec542dd94cf735d538a30b4e091cd271fb80cce805fc569340f878fbbe,100,18000
19550545,76,mint,0x45519b835467d87c5228e6e5e8c4a93964c508dfba8ae88451eb301636614072,100,18100
19550546,65,mint,0x57fdbde998c406d05d17b26ffec96bee5e26d6b30681a782bba388a03462eb17,100,18200
19550546,66,mint,0x9f5a5dec6d2c4d5e239e4c83dee742d4a107e49394ef9fa0683e0a72bab6b397,100,18300
19550546,67,mint,0xbd6ce5695f9cd453154ce662b3f2221c6ecf8904501f28477b538db6287abbf4,100,18400
19550546,68,mint,0x84b1c0a57d98e38e0e3a6ee128472fa049a6b6a574fce09af56b0e0e64699a9b,100,18500
19550546,69,mint,0xa5536a46cb9bc9b937df732edb310c84a59f47595d44ef401f3f170c9edad331,100,18600
19550546,70,mint,0x2fa45bb0d68c4a2954062566c5d4cbee2bc938190c45789fdf5591c318ecdfb9,100,18700
19550548,71,mint,0xef8eb7265e15b039e4f5552bba71f1731c9fdac3aec1811662ff19f8e35fda5b,100,18800
19550548,72,mint,0xcef5a9751346d5e90020f39419d2a8a34f1e3caac19910b6d7c4d816dd1af071,100,18900
19550548,73,mint,0x559844fa7eb9f437f8a5937a42195f8bb4a607afd4072591cc2932415daf8762,100,19000
19550548,74,mint,0x9d7d64366feafa6cd76871e657c0be80479eca073bc8469983753cfa1fef90b2,100,19100
19550588,0,mint,0xd18cf55983ad09e1287709fc5de0a50692d6f87fca9881c480c17bd265841f51,100,19200
19550591,82,mint,0xc1bf9906a80028ed12a420c68d2c42d7d1e0e1cafa5954464cf40be1089e4542,100,19300
19550591,83,mint,0x28ff184e89b81a5faa6e7ee4bb0324c9b4c753a3a880828fb6b62e03483afa05,100,19400
19550595,62,mint,0x11d26a33bed8725cb066b11f3ffd3c1ca986fbaff4a74700c61c83c0dc1a4769,100,19500
19550603,65,mint,0xa0f860f9f44b1abe85232e62c3e538120da1dd4b2cdd9b5ddfeb7cb6e1c94871,100,19600
19550603,66,mint,0xfa16864eab3b0a31cec2460f54defb1d48eda6b3a3108f86517a49c569eb43e3,100,19700
19550603,67,mint,0x92bd76a4344d2fe1815c3e7ee79c4ad445f891ecee2ca458eb757c8706efa773,100,19800
19550603,68,mint,0x75b167ff27ea5e2e0207933b940701ccac8970b02add85bf653e4fb2bab9796a,100,19900
19550603,69,mint,0xb3e65fbcd30cf6c6dd608724023e835a8ec42e4e34bb591483d18d0ddc93f025,100,20000
19550603,70,mint,0x83bece660ff0b3d26d87bc5da23bd7ae89ae3c28abb0f90023acc308e27fa74f,100,20100
19550606,59,mint,0x712fdfb406d29c8f494ecc73d5be5659dadb63e66407678ea0b25ce788017dfc,100,20200
19550606,60,mint,0x1d6a63bf0143640f30131823df55f7c7b589197854d14066ef8382b765db830d,100,20300
19550610,97,mint,0x00ee1b7075ea9689be4d6a296e55d7e02c86f95d3e0d3a4b79513fbd240b77d3,100,20400
19550610,98,mint,0x71359b278853326ac33b942e5b3ac08d25cda6c17a32d9c278f7e47fff2a1625,100,20500
19550612,33,mint,0x38f9765681b0bf49c969a265fa9e6ce7c828c1dd92d4df45a9cc00b76a78ec3e,100,20600
19550614,72,mint,0xec9c5a1b1f5532914a1011fc2d96ff0e67424403ad21aa536270ea780753e476,100,20700
19550616,51,mint,0xb8bcc4df86decd33869d075b3415db15eda840b83be8a6bb8296a7ee52a83ec0,100,20800
19550618,47,mint,0xa43788df82732762f5664f33375e905cd5b773f72d4fd16772914572106b59e4,100,20900
19550619,91,mint,0x0f2b93db6476ac23e8fd5f390144b3ab3c42a299bea4b1761d0474e57e7ea962,100,21000
