block_number,transaction_index,operation,transaction_hash,amount,current_supply
19535572,147,mint,0x6a7a363d30318fa18808e18b9a8291604ebcc5b02cf454de92fcc4d3714c7b67,10000,2742001
19535584,145,mint,0x42e5e3626c7aecb5e63b8d1f2f8509c0d7a024341e704445e9502e67f7169414,10000,2752001
19535596,82,mint,0x023e3930854773e11a31771504c4ef2f9b1045c69c9bb36d5fc0b3f78d3bf67e,10000,2762001
19535596,83,mint,0x235478b24c1e5028b8ea79f34f1ecf237a80e60a686a2dad0fb81363ee08fd1b,10000,2772001
19535619,130,mint,0x962f0c7b35357b028cb330593df04e8c168acde2b77e22eabb347eb16a3caa38,10000,2782001
19535647,56,mint,0xc0c0e1189e7159bb9479f75e2aeb586de82016a652a8363acc1f6729727f4d7c,10000,2792001
19535651,42,mint,0xe52f7077f3fc2ca154ae365245ab5571dd2910f3795031e9047ff84fd2795099,10000,2802001
19535653,113,mint,0xf6aaf8a11773521bcff661e7026b139415e1441841f45a3b7e26e33d33bf4354,10000,2812001
19535658,95,mint,0x6a32161098f5d62f81cbe361e647b9f89ee89bdafa034cb50852d51cb477de05,10000,2822001
19535658,96,mint,0x008c84770a4dd3c7820033b467367467944c1d8ac10c2b3594a52e21e505f517,10000,2832001
19535659,111,mint,0x79f35a1a1b7fb5d0e74c390118def1d4144774efd71a57f8dace55951e6824e1,10000,2842001
19535664,62,mint,0x3400bf8b0f3591360bec4a882efbb5c9526af359355e53e19aefed6f9e35ff54,10000,2852001
19535681,110,mint,0xd65e6558f7962fa6b006eadf2e9c6aa7bf96cd03e9b81bcbba44dba63b697ac5,10000,2862001
19535681,111,mint,0x6d30499eb0ad44da45307f30cc8c4db05d6f57a981dc19daeba228ca950a8bf8,10000,2872001
19535681,113,mint,0x0af67ff41fe3154b1762dbd11c39798493e00b67a5b892956a4efb441b1c20be,10000,2882001
19535684,136,mint,0xfb43b45e54469fd0ba3c20f7225c58a5c37eed82066e261d554c05e285ffe887,10000,2892001
19535684,137,mint,0xc9c1f0e7971f06238dd77484b59d91d4cb709038c3cc09b3b3e7f1fcb7a2c184,10000,2902001
19535684,138,mint,0x81c902a675ac2bec443e780fb42594bb1e5361d452e5a3290aa602ae83bf9870,10000,2912001
19535684,139,mint,0x7420b82d33da41c310b7455b2b59bb48a89ecca14a5d449e5600c9965e13292f,10000,2922001
19535694,45,mint,0x4890a43cd7a6b289213ef1591d364f768a4f433cc00964794a96f7669b4a2867,10000,2932001
19535695,33,mint,0x7fc772c221e263c714a03bcc6eb393702a1bd200f11b638170290a14035856f4,10000,2942001
